title,artist,album
Apple,Charli XCX,Brat
360,Charli XCX,Brat
Wristwatch,MJ Lenderman,Manning Fireworks
She's Leaving You,MJ Lenderman,Manning Fireworks
squabble up,Kendrick Lamar,GNX
luther (with sza),Kendrick Lamar,GNX
Much Ado About Nothing,Waxahatchee,Tigers Blood
Right Back to It,Waxahatchee,Tigers Blood
Image,Magdalena Bay,Imaginal Disk
Death & Romance,Magdalena Bay,Imaginal Disk
Life Is,Jessica Pratt,Here In The Pitch
World on a String,Jessica Pratt,Here In The Pitch
Night Palace,Mount Eerie,Night Palace
Huge Fire,Mount Eerie,Night Palace
NISSAN ALTIMA,Doechii,Alligator Bites Never Heal
DENIAL IS A RIVER,Doechii,Alligator Bites Never Heal
A Psychic Wound,Los Campesinos!,All Hell
The Coin-Op Guillotine,Los Campesinos!,All Hell
Love On The Outside,Wishy,Triple Seven
Triple Seven,Wishy,Triple Seven
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",Chromakopia
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",Chromakopia
I'm All Fucked Up,This Is Lorelei,"Box For Buddy, Box For Star"
Angel's Eye,This Is Lorelei,"Box For Buddy, Box For Star"
Stuck in a Dream,Gouge Away,Deep Sage
Maybe Blue,Gouge Away,Deep Sage
Tony Montana Flow,Chief Keef,Almighty So 2
Runner,Chief Keef,Almighty So 2
Josh Tillman and the Accidental Dose,Father John Misty,Mahashmashana
Mahashmashana,Father John Misty,Mahashmashana
The Fences of Stonehenge,Wild Pink,Dulling The Horns
Eating The Egg Whole,Wild Pink,Dulling The Horns
Sadness As A Gift,Adrianne Lenker,Bright Future
Free Treasure,Adrianne Lenker,Bright Future
ice,Erika de Casier,Still
Lucky,Erika de Casier,Still
I Am Dog Now,Chat Pile,Cool World
Shame,Chat Pile,Cool World
Alesis,Mk.gee,Two Star & The Dream Police
Are You Looking Up,Mk.gee,Two Star & The Dream Police
Continuum 3,Nala Sinephro,Endlessness
Continuum 1,Nala Sinephro,Endlessness
BYE BYE,Kim Gordon,The Collective
I'm A Man,Kim Gordon,The Collective
I Got Heaven,Mannequin Pussy,I Got Heaven
Loud Bark,Mannequin Pussy,I Got Heaven
The Stargate [Tablet I],Blood Incantation,Absolute Elsewhere
The Stargate [Tablet II],Blood Incantation,Absolute Elsewhere
Like I Say (I runaway),Nilüfer Yanya,My Method Actor
Just A Western,Nilüfer Yanya,My Method Actor
Starburster,Fontaines D.C.,Romance
Bug,Fontaines D.C.,Romance
Alone,The Cure,Songs Of A Lost World
And Nothing Is Forever,The Cure,Songs Of A Lost World
Cuckoo!,Jake Xerxes Fussell,When I'm Called
"Leaving Here, Don't Know Where I'm Going",Jake Xerxes Fussell,When I'm Called
Birth4000,Floating Points,Cascade
Fast Forward,Floating Points,Cascade
Bubba,Hovvdy,Hovvdy
Forever,Hovvdy,Hovvdy
Myopic,Drug Church,Prude
Demolition Man,Drug Church,Prude
Kravitz,Mabe Fratti,Sentir Que No Sabes
Pantalla azul,Mabe Fratti,Sentir Que No Sabes
Guided Tour,High Vis,Guided Tour
Drop Me Out,High Vis,Guided Tour
Capricorn,Vampire Weekend,Only God Was Above Us
Mary Boone,Vampire Weekend,Only God Was Above Us
Loved,Four Tet,Three
Skater,Four Tet,Three
Couch Slut Lewis,Couch Slut,You Could Do It Tonight
Ode To Jimbo,Couch Slut,You Could Do It Tonight
Dawn [ft. esperanza spalding],Nubya Garcia,Odyssey
Set It Free,Nubya Garcia,Odyssey
Don't Do Me Good,Madi Diaz,Weird Faith
God Person,Madi Diaz,Weird Faith
Mint Tea,Johnny Blue Skies,Passage Du Desir
If The Sun Never Rises Again,Johnny Blue Skies,Passage Du Desir
Only One,Cassandra Jenkins,"My Light, My Destroyer"
Clams Casino,Cassandra Jenkins,"My Light, My Destroyer"
motions,glass beach,plastic death
rare animal,glass beach,plastic death
Taste,Sabrina Carpenter,Short N' Sweet
Bed Chem,Sabrina Carpenter,Short N' Sweet
Triple Bypass In B-Flat,2nd Grade,Scheduled Explosions
I Wanna Be On Your Mind,2nd Grade,Scheduled Explosions
Murdergram Deux (feat. Eminem),LL Cool J,The FORCE
Praise Him (feat. Nas),LL Cool J,The FORCE
Critterland,Willi Carlisle,Critterland
Higher Lonesome,Willi Carlisle,Critterland
#RICHAXXHAITIAN,Mach-Hommy,#RICHAXXHAITIAN
SUR LE PONT d'AVIGNON (Reparation #1),Mach-Hommy,#RICHAXXHAITIAN
The Great Divide - Album Mix,Wussy,Cincinnati Ohio
The Ghosts Keep Me Alive,Wussy,Cincinnati Ohio
